top_ten_repository,year,month,day,open,closed
diaspora/diaspora,2012,01,01,1,0
diaspora/diaspora,2012,01,02,2,3
diaspora/diaspora,2012,01,03,1,1
diaspora/diaspora,2012,01,04,1,1
diaspora/diaspora,2012,01,05,2,0
diaspora/diaspora,2012,01,06,1,0
diaspora/diaspora,2012,01,07,3,0
diaspora/diaspora,2012,01,08,5,0
diaspora/diaspora,2012,01,09,12,166
diaspora/diaspora,2012,01,10,8,103
diaspora/diaspora,2012,01,11,10,26
diaspora/diaspora,2012,01,12,4,44
diaspora/diaspora,2012,01,13,9,122
diaspora/diaspora,2012,01,14,9,13
diaspora/diaspora,2012,01,15,7,8
diaspora/diaspora,2012,01,16,2,9
diaspora/diaspora,2012,01,17,4,38
diaspora/diaspora,2012,01,18,6,4
diaspora/diaspora,2012,01,19,7,10
diaspora/diaspora,2012,01,20,5,6
diaspora/diaspora,2012,01,21,1,2
diaspora/diaspora,2012,01,22,5,9
diaspora/diaspora,2012,01,23,5,3
diaspora/diaspora,2012,01,24,5,7
diaspora/diaspora,2012,01,25,8,3
diaspora/diaspora,2012,01,26,9,10
diaspora/diaspora,2012,01,27,13,11
diaspora/diaspora,2012,01,28,7,9
diaspora/diaspora,2012,01,29,6,7
diaspora/diaspora,2012,01,30,10,2
diaspora/diaspora,2012,01,31,6,1
diaspora/diaspora,2012,02,01,7,7
diaspora/diaspora,2012,02,02,6,5
diaspora/diaspora,2012,02,03,4,20
diaspora/diaspora,2012,02,04,8,4
diaspora/diaspora,2012,02,05,0,4
diaspora/diaspora,2012,02,06,5,6
diaspora/diaspora,2012,02,07,6,9
diaspora/diaspora,2012,02,08,4,4
diaspora/diaspora,2012,02,09,4,6
diaspora/diaspora,2012,02,10,4,1
diaspora/diaspora,2012,02,11,10,1
diaspora/diaspora,2012,02,12,4,1
diaspora/diaspora,2012,02,13,1,5
diaspora/diaspora,2012,02,14,4,3
diaspora/diaspora,2012,02,15,1,2
diaspora/diaspora,2012,02,16,1,2
diaspora/diaspora,2012,02,17,3,3
diaspora/diaspora,2012,02,18,4,1
diaspora/diaspora,2012,02,19,1,3
diaspora/diaspora,2012,02,20,2,8
diaspora/diaspora,2012,02,21,5,1
diaspora/diaspora,2012,02,22,2,1
diaspora/diaspora,2012,02,23,1,1
diaspora/diaspora,2012,02,24,3,11
diaspora/diaspora,2012,02,25,3,10
diaspora/diaspora,2012,02,26,1,2
diaspora/diaspora,2012,02,27,4,5
diaspora/diaspora,2012,02,28,8,4
diaspora/diaspora,2012,02,29,8,2
diaspora/diaspora,2012,03,01,3,1
diaspora/diaspora,2012,03,02,4,1
diaspora/diaspora,2012,03,03,1,7
diaspora/diaspora,2012,03,04,1,1
diaspora/diaspora,2012,03,05,1,0
diaspora/diaspora,2012,03,06,0,1
diaspora/diaspora,2012,03,07,0,4
diaspora/diaspora,2012,03,08,0,9
diaspora/diaspora,2012,03,09,1,0
TrinityCore/TrinityCore,2012,01,01,9,1
TrinityCore/TrinityCore,2012,01,02,12,7
TrinityCore/TrinityCore,2012,01,03,13,8
TrinityCore/TrinityCore,2012,01,04,8,34
TrinityCore/TrinityCore,2012,01,05,9,19
TrinityCore/TrinityCore,2012,01,06,13,19
TrinityCore/TrinityCore,2012,01,07,17,21
TrinityCore/TrinityCore,2012,01,08,18,28
TrinityCore/TrinityCore,2012,01,09,18,9
TrinityCore/TrinityCore,2012,01,10,11,8
TrinityCore/TrinityCore,2012,01,11,11,7
TrinityCore/TrinityCore,2012,01,12,9,7
TrinityCore/TrinityCore,2012,01,13,5,6
TrinityCore/TrinityCore,2012,01,14,10,9
TrinityCore/TrinityCore,2012,01,15,10,8
TrinityCore/TrinityCore,2012,01,16,9,15
TrinityCore/TrinityCore,2012,01,17,13,5
TrinityCore/TrinityCore,2012,01,18,10,1
TrinityCore/TrinityCore,2012,01,19,11,18
TrinityCore/TrinityCore,2012,01,20,9,5
TrinityCore/TrinityCore,2012,01,21,6,17
TrinityCore/TrinityCore,2012,01,22,6,55
TrinityCore/TrinityCore,2012,01,23,8,8
TrinityCore/TrinityCore,2012,01,24,10,9
TrinityCore/TrinityCore,2012,01,25,11,4
TrinityCore/TrinityCore,2012,01,26,3,6
TrinityCore/TrinityCore,2012,01,27,6,5
TrinityCore/TrinityCore,2012,01,28,9,10
TrinityCore/TrinityCore,2012,01,29,7,9
TrinityCore/TrinityCore,2012,01,30,14,12
TrinityCore/TrinityCore,2012,01,31,8,14
TrinityCore/TrinityCore,2012,02,01,15,20
TrinityCore/TrinityCore,2012,02,02,9,7
TrinityCore/TrinityCore,2012,02,03,8,12
TrinityCore/TrinityCore,2012,02,04,8,16
TrinityCore/TrinityCore,2012,02,05,15,37
TrinityCore/TrinityCore,2012,02,06,18,5
TrinityCore/TrinityCore,2012,02,07,14,13
